,Unnamed: 0.1,Unnamed: 0,id,loc,dis,mapbar,centroid,normalize
220,228,228,基隆北街与新月路交汇,"125.293566,43.936564",1785,"125.294841037327,43.934698350695",0,"-0.005151638454989893,-0.006013726127996222"
222,230,230,菜市北街与北环路交汇,"125.308155,43.944690",1456,"125.309395073785,43.942765842014",0,"0.009402398003004464,0.002053765191000423"
225,233,233,基隆北街与新月路交汇,"125.293566,43.936564",1785,"125.294841037327,43.934698350695",0,"-0.005151638454989893,-0.006013726127996222"
228,236,236,青年路与新月路交汇,"125.293566,43.936564",1785,"125.294841037327,43.934698350695",0,"-0.005151638454989893,-0.006013726127996222"
229,237,237,青年路与农安南街交汇,"125.296473,43.937747",1364,"125.297747124566,43.935871582032",0,"-0.0022455512159922364,-0.004840494790997241"
230,238,238,青年路农安南街交汇,"125.295862,43.936240",960,"125.297135687935,43.934381781685",0,"-0.002856987846996617,-0.006330295137999542"
236,244,244,宽城交警队,"125.289599,43.936931",1419,"125.290883517796,43.935072970921",0,"-0.009109157985989214,-0.0056391059019986756"
241,249,249,豪邦四季风采小区正门,"125.295695,43.934932",1373,"125.296965060764,43.933082139757",0,"-0.0030276150179986416,-0.00762993706599957"
244,253,253,法官公寓正门,"125.292074,43.935793",1434,"125.293357747396,43.933936903212",0,"-0.0066349283859921115,-0.006775173610996887"
257,266,266,基隆北街与新月路交汇（豪邦四季经典B区）,"125.293566,43.936564",1785,"125.294841037327,43.934698350695",0,"-0.005151638454989893,-0.006013726127996222"
258,267,267,新月山庄A区,"125.288750,43.935244",1694,"125.290051540799,43.933393012153",0,"-0.009941134982994981,-0.007319064669999875"
263,272,272,青年路与新青路交汇,"125.294653,43.944068",1196,"125.295934244792,43.94214545356",0,"-0.004058430989999806,0.0014333767370047212"
267,276,276,新月路（新月山庄小区）,"125.288609,43.935972",1636,"125.289901529948,43.934112413195",0,"-0.010091145833996507,-0.006599663627994801"
284,293,293,基隆北街与新月路交汇,"125.293566,43.936564",1785,"125.294841037327,43.934698350695",0,"-0.005151638454989893,-0.006013726127996222"
288,297,297,基隆北街与新月路交汇,"125.293566,43.936564",1785,"125.294841037327,43.934698350695",0,"-0.005151638454989893,-0.006013726127996222"
307,318,318,基隆北街与新月路交汇,"125.293566,43.936564",1785,"125.294841037327,43.934698350695",0,"-0.005151638454989893,-0.006013726127996222"
312,323,323,农安南街,"125.297281,43.938323",703,"125.298559027778,43.936442599827",0,"-0.0014336480039958133,-0.004269476996000776"
313,324,324,新月小区,"125.289923,43.939121",1588,"125.291214192709,43.937242296007",0,"-0.008778483072987342,-0.0034697808159975807"
317,328,328,基隆北街与新月路交汇四季经典,"125.293566,43.936564",1785,"125.294841037327,43.934698350695",0,"-0.005151638454989893,-0.006013726127996222"
