,Unnamed: 0.1,Unnamed: 0,id,loc,dis,mapbar,centroid,normalize
168,174,174,檀香苑三期,"125.285577,43.933613",2102,"125.286875813803,43.931780327691",1,"-0.013116861979000305,-0.008931749131996014"
169,175,175,基隆北街四季经典,"125.281784,43.935034",2589,"125.283100043403,43.933185492622",1,"-0.01689263237899752,-0.007526584200995501"
172,178,178,豪邦四季经典,"125.281784,43.935034",2589,"125.283100043403,43.933185492622",1,"-0.01689263237899752,-0.007526584200995501"
174,180,180,豪邦四季经典b区,"125.281418,43.934463",2447,"125.282729220921,43.932625325521",1,"-0.017263454860994898,-0.00808675130199532"
175,181,181,豪邦四季经典,"125.281784,43.935034",2589,"125.283100043403,43.933185492622",1,"-0.01689263237899752,-0.007526584200995501"
176,182,182,宽城区龙泰檀香苑2期,"125.285226,43.931391",2453,"125.286524793837,43.92957139757",1,"-0.013467881944990268,-0.011140679252996222"
177,183,183,基隆北街檀香苑20栋505,"125.288093,43.931749",2706,"125.289389919705,43.929914279514",1,"-0.010602756076991682,-0.010797797308995882"
178,184,184,宽城区基隆北街与柳江路交汇处豪邦四季经典C2-6-1212,"125.279197,43.931973",2709,"125.280515679254,43.930154893664",1,"-0.019476996527998836,-0.010557183158994121"
179,185,185,宽城区新惠路檀香苑小区39-4-607,"125.285458,43.931009",2418,"125.286755099827,43.929181586372",1,"-0.013237575954988756,-0.01153049045099408"
180,186,186,宽城区基隆北街与柳江路交汇豪邦四季经典,"125.281784,43.935034",2589,"125.283100043403,43.933185492622",1,"-0.01689263237899752,-0.007526584200995501"
181,187,187,龙泰檀香苑一期,"125.283657,43.930311",2453,"125.28496202257,43.928500162761",1,"-0.01503065321199415,-0.012211914062000062"
182,188,188,新大华府小区,"125.282220,43.938146",2296,"125.28353108724,43.936274142796",1,"-0.016461588542000527,-0.004437934026995549"
186,192,192,宽城区基隆北街龙泰檀香苑13栋2单元906,"125.283650,43.933586",2297,"125.284962565105,43.931748318143",1,"-0.015030110676988784,-0.008963758679996658"
187,193,193,豪邦四季经典A9-1-601,"125.278710,43.935805",2439,"125.280035536025,43.933952094185",1,"-0.019957139756996867,-0.00675998263799471"
188,194,194,豪邦四季经典A9-1-601,"125.278710,43.935805",2439,"125.280035536025,43.933952094185",1,"-0.019957139756996867,-0.00675998263799471"
190,196,196,宽城区新月路与基隆北街交汇新大华府小区,"125.282220,43.938146",2296,"125.28353108724,43.936274142796",1,"-0.016461588542000527,-0.004437934026995549"
191,197,197,宽城区新月路与基隆北街交汇新大华府小区,"125.282220,43.938146",2296,"125.28353108724,43.936274142796",1,"-0.016461588542000527,-0.004437934026995549"
192,198,198,龙泰檀香苑,"125.287531,43.930838",2782,"125.288828667535,43.92901421441",1,"-0.011164008246993262,-0.011697862412994198"
194,201,201,宽城区龙泰檀香苑三期一栋,"125.285577,43.933613",2102,"125.286875813803,43.931780327691",1,"-0.013116861979000305,-0.008931749131996014"
195,202,202,长春市宽城区新月路奋进乡教师楼7门301室,"125.284660,43.936873",1809,"125.285964898004,43.935007324219",1,"-0.01402777777799713,-0.00570475260399661"
197,204,204,吉林省长春市宽城区基隆北街龙泰檀香苑三期15栋3单元1709,"125.283411,43.932814",2366,"125.284722222223,43.930988498264",1,"-0.015270453558997588,-0.009723578558997303"
198,205,205,豪邦四季经典C区1－3－706,"125.280923,43.931974",2740,"125.28223795573,43.930156521268",1,"-0.017754720051996742,-0.0105555555549941"
199,206,206,龙泰檀香苑三期5栋一单元401,"125.286134,43.933157",2602,"125.287436794705,43.931321072049",1,"-0.012555881076991682,-0.009391004773995348"
200,207,207,长春市宽城区新月路新大华府2-1-801,"125.281505,43.938091",2327,"125.282819824219,43.936223415799",1,"-0.017172851562989422,-0.004488661023998475"
201,208,208,长春市宽城区基隆北街豪邦四季经典c区2栋1004,"125.279094,43.931944",2717,"125.28041531033,43.930124782987",1,"-0.019577365451993956,-0.010587293835996547"
202,209,209,基隆北街,"125.283165,43.932802",2393,"125.284471842448,43.930978190105",1,"-0.015520833333994233,-0.009733886717995688"
203,210,210,豪邦四季经典C区,"125.280364,43.931770",3301,"125.281677246094,43.929956054688",1,"-0.018315429687987717,-0.010756022134998489"
204,211,211,新月路与北环城路逸佳小区,"125.276489,43.935373",2841,"125.277812228733,43.933530544705",1,"-0.02218044704899569,-0.0071815321179968805"
205,212,212,基隆北街与新月路交（电动车）,"125.283374,43.937190",1914,"125.284682617188,43.935326063369",1,"-0.0153100585939967,-0.005386013454000249"
206,213,213,龙泰檀香苑二期早上开车送,"125.285429,43.931570",2642,"125.28672498915,43.92975124783",1,"-0.013267686631991182,-0.010960828992999438"
207,214,214,基隆北街与新惠路交汇,"125.288667,43.930552",2031,"125.289960666233,43.92873562283",1,"-0.010032009548993415,-0.011976453993000291"
208,215,215,基隆街与新惠路交汇,"125.282037,43.930893",2537,"125.283349609375,43.929078233507",1,"-0.016643066406999196,-0.01163384331599815"
210,217,217,龙泰檀香苑,"125.287531,43.930838",2782,"125.288828667535,43.92901421441",1,"-0.011164008246993262,-0.011697862412994198"
211,218,218,基隆北街与新惠路交汇,"125.288667,43.930552",2031,"125.289960666233,43.92873562283",1,"-0.010032009548993415,-0.011976453993000291"
212,219,219,基隆北街与新惠路交汇,"125.288667,43.930552",2031,"125.289960666233,43.92873562283",1,"-0.010032009548993415,-0.011976453993000291"
213,220,220,基隆北街与新惠路交汇,"125.288667,43.930552",2031,"125.289960666233,43.92873562283",1,"-0.010032009548993415,-0.011976453993000291"
214,221,221,龙泰檀香苑,"125.287531,43.930838",2782,"125.288828667535,43.92901421441",1,"-0.011164008246993262,-0.011697862412994198"
216,223,223,基隆北街檀香苑(开车接送),"125.288667,43.930552",2031,"125.289960666233,43.92873562283",1,"-0.010032009548993415,-0.011976453993000291"
217,224,224,基隆北街檀香苑,"125.288667,43.930552",2031,"125.289960666233,43.92873562283",1,"-0.010032009548993415,-0.011976453993000291"
218,226,226,基隆北街檀香苑,"125.288667,43.930552",2031,"125.289960666233,43.92873562283",1,"-0.010032009548993415,-0.011976453993000291"
221,229,229,基隆北街与柳江路交汇,"125.282973,43.932590",2380,"125.284281412761,43.930768229167",1,"-0.015711263020989463,-0.009943847655996763"
223,231,231,基隆北街与新惠路交汇龙泰檀香苑二期南门,"125.284475,43.930739",2341,"125.285783420139,43.928920898438",1,"-0.0142092556429958,-0.011791178384996215"
227,235,235,基隆北街与柳江路交汇豪邦四季经典C区东门,"125.280452,43.931771",3294,"125.281767578125,43.929956325955",1,"-0.01822509765699465,-0.010755750868000291"
231,239,239,基隆北街与柳江路交汇,"125.282973,43.932590",2380,"125.284281412761,43.930768229167",1,"-0.015711263020989463,-0.009943847655996763"
232,240,240,新月路豪邦四季经典北门,"125.279430,43.935796",2506,"125.280756293403,43.933942599827",1,"-0.019236382378991834,-0.006769476995998502"
233,241,241,基隆北街新月路交汇,"125.284527,43.937223",1994,"125.285824652778,43.935356987848",1,"-0.01416802300398956,-0.00535508897499426"
234,242,242,基隆北街与柳江路交汇,"125.282973,43.932590",2380,"125.284281412761,43.930768229167",1,"-0.015711263020989463,-0.009943847655996763"
235,243,243,基隆北街与新月路交汇豪邦四季经典B区东门,"125.281418,43.934463",2447,"125.282729220921,43.932625325521",1,"-0.017263454860994898,-0.00808675130199532"
237,245,245,基隆北街与柳江路交汇,"125.282973,43.932590",2380,"125.284281412761,43.930768229167",1,"-0.015711263020989463,-0.009943847655996763"
238,246,246,基隆北街与柳江路交汇,"125.282973,43.932590",2380,"125.284281412761,43.930768229167",1,"-0.015711263020989463,-0.009943847655996763"
239,247,247,基隆北街与柳江路交汇,"125.282973,43.932590",2380,"125.284281412761,43.930768229167",1,"-0.015711263020989463,-0.009943847655996763"
240,248,248,柳江路檀香苑二期北门,"125.285809,43.932288",2544,"125.287105848525,43.930451388889",1,"-0.01288682725699175,-0.010260687934000146"
242,250,250,基隆北街与柳江路交汇豪邦四季经典C区东门,"125.280452,43.931771",3294,"125.281767578125,43.929956325955",1,"-0.01822509765699465,-0.010755750868000291"
243,251,251,基隆北街与柳江路交汇豪邦四季经典北门,"125.279430,43.935796",2506,"125.280756293403,43.933942599827",1,"-0.019236382378991834,-0.006769476995998502"
245,254,254,基隆街与新惠路交汇檀香苑1期,"125.283657,43.930311",2453,"125.28496202257,43.928500162761",1,"-0.01503065321199415,-0.012211914062000062"
247,256,256,龙泰檀香苑二期,"125.285429,43.931570",2642,"125.28672498915,43.92975124783",1,"-0.013267686631991182,-0.010960828992999438"
249,258,258,豪邦四季经典C区,"125.280364,43.931770",3301,"125.281677246094,43.929956054688",1,"-0.018315429687987717,-0.010756022134998489"
250,259,259,豪邦四季经典A区,"125.278864,43.936033",2410,"125.280185818143,43.934182128907",1,"-0.019806857638997144,-0.006529947916000367"
251,260,260,豪邦四季经典A区,"125.278864,43.936033",2410,"125.280185818143,43.934182128907",1,"-0.019806857638997144,-0.006529947916000367"
252,261,261,基隆北街与柳江路交汇,"125.282973,43.932590",2380,"125.284281412761,43.930768229167",1,"-0.015711263020989463,-0.009943847655996763"
254,263,263,豪邦四季经典C区,"125.280364,43.931770",3301,"125.281677246094,43.929956054688",1,"-0.018315429687987717,-0.010756022134998489"
255,264,264,豪邦四季经典Ｂ区,"125.281418,43.934463",2447,"125.282729220921,43.932625325521",1,"-0.017263454860994898,-0.00808675130199532"
256,265,265,豪邦四季经典C区,"125.280364,43.931770",3301,"125.281677246094,43.929956054688",1,"-0.018315429687987717,-0.010756022134998489"
259,268,268,豪邦四季经A区,"125.281784,43.935034",2589,"125.283100043403,43.933185492622",1,"-0.01689263237899752,-0.007526584200995501"
261,270,270,豪邦四季经典A区,"125.278864,43.936033",2410,"125.280185818143,43.934182128907",1,"-0.019806857638997144,-0.006529947916000367"
264,273,273,豪邦四季经典C区,"125.280364,43.931770",3301,"125.281677246094,43.929956054688",1,"-0.018315429687987717,-0.010756022134998489"
265,274,274,豪邦四季经典C区,"125.280364,43.931770",3301,"125.281677246094,43.929956054688",1,"-0.018315429687987717,-0.010756022134998489"
266,275,275,豪邦四季经典C区,"125.280364,43.931770",3301,"125.281677246094,43.929956054688",1,"-0.018315429687987717,-0.010756022134998489"
268,277,277,基隆北街与新惠路交汇,"125.288667,43.930552",2031,"125.289960666233,43.92873562283",1,"-0.010032009548993415,-0.011976453993000291"
269,278,278,基隆北街柳江路交汇,"125.283642,43.931913",2727,"125.284952256945,43.930089246962",1,"-0.015040418836989033,-0.010622829860999161"
270,279,279,"基隆北街与柳江路交汇（檀香苑二期）
","125.285226,43.931391",2453,"125.286524793837,43.92957139757",1,"-0.013467881944990268,-0.011140679252996222"
272,281,281,新月路与基隆北街交汇,"125.283408,43.937287",2505,"125.284712727865,43.935415581598",1,"-0.015279947916994274,-0.005296495224996534"
273,282,282,基隆北街与新惠路交汇,"125.288667,43.930552",2031,"125.289960666233,43.92873562283",1,"-0.010032009548993415,-0.011976453993000291"
274,283,283,新竹路2261号,"125.264221,43.912565",6198,"125.26560655382,43.910906846789",1,"-0.03438612196198676,-0.029805230034000374"
275,284,284,柳江路与基隆北街交汇,"125.285164,43.937473",2645,"125.286465657553,43.935607638889",1,"-0.0135270182289986,-0.005104437933994177"
276,285,285,基隆北街与柳江路交汇,"125.282973,43.932590",2380,"125.284281412761,43.930768229167",1,"-0.015711263020989463,-0.009943847655996763"
278,287,287,柳江路与基隆北街交汇,"125.285164,43.937473",2645,"125.286465657553,43.935607638889",1,"-0.0135270182289986,-0.005104437933994177"
279,288,288,基隆街与新惠路交汇,"125.282037,43.930893",2537,"125.283349609375,43.929078233507",1,"-0.016643066406999196,-0.01163384331599815"
280,289,289,基隆北街柳江路交汇,"125.283642,43.931913",2727,"125.284952256945,43.930089246962",1,"-0.015040418836989033,-0.010622829860999161"
281,290,290,基隆街与新惠路交汇,"125.282037,43.930893",2537,"125.283349609375,43.929078233507",1,"-0.016643066406999196,-0.01163384331599815"
282,291,291,柳江路与基隆北街交汇,"125.285164,43.937473",2645,"125.286465657553,43.935607638889",1,"-0.0135270182289986,-0.005104437933994177"
283,292,292,檀香苑二期（基隆街与柳江路交汇）,"125.285226,43.931391",2453,"125.286524793837,43.92957139757",1,"-0.013467881944990268,-0.011140679252996222"
285,294,294,基隆街与新惠路交汇,"125.282037,43.930893",2537,"125.283349609375,43.929078233507",1,"-0.016643066406999196,-0.01163384331599815"
286,295,295,基隆街与新月路交汇处,"125.283408,43.937287",2505,"125.284712727865,43.935415581598",1,"-0.015279947916994274,-0.005296495224996534"
287,296,296,基隆北街与柳江路交汇,"125.282973,43.932590",2380,"125.284281412761,43.930768229167",1,"-0.015711263020989463,-0.009943847655996763"
289,298,298,"檀香苑二期（基隆街与柳江路交汇） 
","125.285226,43.931391",2453,"125.286524793837,43.92957139757",1,"-0.013467881944990268,-0.011140679252996222"
290,299,299,豪邦四季经典a区,"125.278864,43.936033",2410,"125.280185818143,43.934182128907",1,"-0.019806857638997144,-0.006529947916000367"
291,300,300,基隆北街与柳江路交汇,"125.282973,43.932590",2380,"125.284281412761,43.930768229167",1,"-0.015711263020989463,-0.009943847655996763"
292,301,301,豪邦四季经典,"125.281784,43.935034",2589,"125.283100043403,43.933185492622",1,"-0.01689263237899752,-0.007526584200995501"
293,302,302,龙泰檀香苑二期北门,"125.285809,43.932288",2544,"125.287105848525,43.930451388889",1,"-0.01288682725699175,-0.010260687934000146"
294,303,303,豪邦四季经典,"125.281784,43.935034",2589,"125.283100043403,43.933185492622",1,"-0.01689263237899752,-0.007526584200995501"
295,304,304,龙泰檀香苑一期新惠路,"125.283657,43.930311",2453,"125.28496202257,43.928500162761",1,"-0.01503065321199415,-0.012211914062000062"
297,307,307,新隆家园,"125.279659,43.937653",2244,"125.280977105035,43.935791829428",1,"-0.01901557074698701,-0.004920247394998967"
298,308,308,龙泰檀香苑三期,"125.285577,43.933613",2102,"125.286875813803,43.931780327691",1,"-0.013116861979000305,-0.008931749131996014"
299,309,309,龙泰檀香苑三期,"125.285577,43.933613",2102,"125.286875813803,43.931780327691",1,"-0.013116861979000305,-0.008931749131996014"
300,310,310,四季经典小区,"125.280558,43.935246",2464,"125.281867947049,43.933394097223",1,"-0.01812472873299953,-0.007317979599996249"
301,311,311,龙泰檀香苑一期,"125.283657,43.930311",2453,"125.28496202257,43.928500162761",1,"-0.01503065321199415,-0.012211914062000062"
302,312,312,基隆北街,"125.283165,43.932802",2393,"125.284471842448,43.930978190105",1,"-0.015520833333994233,-0.009733886717995688"
303,313,313,龙泰檀香苑三期南门,"125.285577,43.933613",2102,"125.286875813803,43.931780327691",1,"-0.013116861979000305,-0.008931749131996014"
304,314,314,豪邦四季经典,"125.281784,43.935034",2589,"125.283100043403,43.933185492622",1,"-0.01689263237899752,-0.007526584200995501"
305,316,316,豪邦四季经典b区,"125.281418,43.934463",2447,"125.282729220921,43.932625325521",1,"-0.017263454860994898,-0.00808675130199532"
306,317,317,基隆北街与新月路交汇新大华府,"125.282220,43.938146",2296,"125.28353108724,43.936274142796",1,"-0.016461588542000527,-0.004437934026995549"
308,319,319,基隆北街与新月路,"125.283374,43.937190",1914,"125.284682617188,43.935326063369",1,"-0.0153100585939967,-0.005386013454000249"
309,320,320,基隆北街与柳江路,"125.282973,43.932590",2380,"125.284281412761,43.930768229167",1,"-0.015711263020989463,-0.009943847655996763"
311,322,322,基隆北街与新月路,"125.283374,43.937190",1914,"125.284682617188,43.935326063369",1,"-0.0153100585939967,-0.005386013454000249"
315,326,326,基隆北街与新月交汇路四季经典,"125.281467,43.931004",3103,"125.282778862848,43.929187554254",1,"-0.017213812933988493,-0.011524522568997497"
316,327,327,基隆北街与柳江路,"125.282973,43.932590",2380,"125.284281412761,43.930768229167",1,"-0.015711263020989463,-0.009943847655996763"
319,330,330,基隆北街四季经典C区,"125.279945,43.931918",2678,"125.281266818577,43.930095757379",1,"-0.01872585720499842,-0.010616319443997213"
320,331,331,基隆北街四季经典C区,"125.279945,43.931918",2678,"125.281266818577,43.930095757379",1,"-0.01872585720499842,-0.010616319443997213"
322,333,333,豪邦四季经典,"125.281784,43.935034",2589,"125.283100043403,43.933185492622",1,"-0.01689263237899752,-0.007526584200995501"
323,334,334,基隆北街与柳江路,"125.282973,43.932590",2380,"125.284281412761,43.930768229167",1,"-0.015711263020989463,-0.009943847655996763"
325,336,336,基隆北街与柳江路交汇檀香苑,"125.288667,43.930552",2031,"125.289960666233,43.92873562283",1,"-0.010032009548993415,-0.011976453993000291"
326,337,337,"基隆北街与柳江路交汇
","125.282973,43.932590",2380,"125.284281412761,43.930768229167",1,"-0.015711263020989463,-0.009943847655996763"
328,339,339,基隆北街与柳江路交汇,"125.282973,43.932590",2380,"125.284281412761,43.930768229167",1,"-0.015711263020989463,-0.009943847655996763"
331,342,342,基隆北街与柳江路交汇,"125.282973,43.932590",2380,"125.284281412761,43.930768229167",1,"-0.015711263020989463,-0.009943847655996763"
332,343,343,基隆北街与柳江路交汇,"125.282973,43.932590",2380,"125.284281412761,43.930768229167",1,"-0.015711263020989463,-0.009943847655996763"
333,344,344,基隆北街与新惠路交汇,"125.288667,43.930552",2031,"125.289960666233,43.92873562283",1,"-0.010032009548993415,-0.011976453993000291"
334,345,345,基隆北街与新惠路交汇,"125.288667,43.930552",2031,"125.289960666233,43.92873562283",1,"-0.010032009548993415,-0.011976453993000291"
338,349,349,基隆北街与柳江路交汇,"125.282973,43.932590",2380,"125.284281412761,43.930768229167",1,"-0.015711263020989463,-0.009943847655996763"
340,351,351,基隆北街与柳江路交汇,"125.282973,43.932590",2380,"125.284281412761,43.930768229167",1,"-0.015711263020989463,-0.009943847655996763"
341,352,352,基隆北街与柳江路交汇,"125.282973,43.932590",2380,"125.284281412761,43.930768229167",1,"-0.015711263020989463,-0.009943847655996763"
342,353,353,新月路与花连路交汇,"125.286546,43.937224",2156,"125.287837999132,43.935359157987",1,"-0.012154676649998919,-0.005352918835995979"
343,354,354,基隆北街柳江路,"125.279736,43.932541",2637,"125.281056315105,43.930715060764",1,"-0.018936360676988784,-0.009997016058996167"
345,356,356,基隆北街与新惠路交汇,"125.288667,43.930552",2031,"125.289960666233,43.92873562283",1,"-0.010032009548993415,-0.011976453993000291"
351,362,362,新月路基隆北街交汇,"125.282062,43.931386",3166,"125.283379720053,43.929567871094",1,"-0.0166129557289878,-0.011144205728996326"
353,364,364,龙泰檀香苑,"125.287531,43.930838",2782,"125.288828667535,43.92901421441",1,"-0.011164008246993262,-0.011697862412994198"
354,365,365,豪邦四季经典,"125.281784,43.935034",2589,"125.283100043403,43.933185492622",1,"-0.01689263237899752,-0.007526584200995501"
355,366,366,龙泰檀香苑,"125.287531,43.930838",2782,"125.288828667535,43.92901421441",1,"-0.011164008246993262,-0.011697862412994198"
356,367,367,龙泰檀香苑,"125.287531,43.930838",2782,"125.288828667535,43.92901421441",1,"-0.011164008246993262,-0.011697862412994198"
357,368,368,豪邦四季经典,"125.281784,43.935034",2589,"125.283100043403,43.933185492622",1,"-0.01689263237899752,-0.007526584200995501"
361,374,374,豪邦四季经典,"125.281784,43.935034",2589,"125.283100043403,43.933185492622",1,"-0.01689263237899752,-0.007526584200995501"
362,375,375,龙泰檀香苑一期65栋,"125.283657,43.930311",2453,"125.28496202257,43.928500162761",1,"-0.01503065321199415,-0.012211914062000062"
363,376,376,豪邦四季经典,"125.281784,43.935034",2589,"125.283100043403,43.933185492622",1,"-0.01689263237899752,-0.007526584200995501"
364,377,377,"龙泰檀香苑
","125.287531,43.930838",2782,"125.288828667535,43.92901421441",1,"-0.011164008246993262,-0.011697862412994198"
365,378,378,龙泰檀香苑,"125.287531,43.930838",2782,"125.288828667535,43.92901421441",1,"-0.011164008246993262,-0.011697862412994198"
367,380,380,豪邦四季经典,"125.281784,43.935034",2589,"125.283100043403,43.933185492622",1,"-0.01689263237899752,-0.007526584200995501"
369,384,384,豪邦四季经典,"125.281784,43.935034",2589,"125.283100043403,43.933185492622",1,"-0.01689263237899752,-0.007526584200995501"
370,385,385,豪邦四季经典,"125.281784,43.935034",2589,"125.283100043403,43.933185492622",1,"-0.01689263237899752,-0.007526584200995501"
371,386,386,龙泰檀香苑二期,"125.285429,43.931570",2642,"125.28672498915,43.92975124783",1,"-0.013267686631991182,-0.010960828992999438"
372,387,387,龙泰檀香苑一期,"125.283657,43.930311",2453,"125.28496202257,43.928500162761",1,"-0.01503065321199415,-0.012211914062000062"
