,Unnamed: 0,id,loc_x,loc_y,dis,mapbar_x,mapbar_y,centroid,normalize_x,normalize_y
0,0,长新街九台路,125.32899,43.922264,1140,125.33019639757,43.920506727431,2,0.009745822483012,-0.0042792426220046
2,2,长新街亚泰大街,125.338142,43.923664,3094,125.339331597223,43.921903483073,2,0.018881022136,-0.002882486979999
3,3,北人民大街,125.323555,43.930705,717,125.324772677952,43.928881564671,2,0.0043221028650037,0.0040955946180005
4,4,鑫旺小区,125.325228,43.926507,747,125.326436631945,43.92471733941,2,0.0059860568580063,-6.86306429997785e-05
5,5,上台花园A区,125.339543,43.940467,3731,125.34072781033,43.938576388889,2,0.0202772352430002,0.0137904188359954
6,6,康泰乐园A区,125.320529,43.927351,287,125.321743977865,43.925557725695,2,0.0012934027780033,0.000771755641999
8,8,鑫旺小区,125.325228,43.926507,747,125.326436631945,43.92471733941,2,0.0059860568580063,-6.86306429997785e-05
10,10,二道沟街,125.321312,43.92655,414,125.322535807292,43.924759657119,2,0.0020852322050046,-2.63129340041246e-05
11,11,九台北路庆丰路,125.336311,43.93741,2612,125.337508409289,43.935541992188,2,0.0170578342020064,0.0107560221349984
12,12,九台南路台北大街,125.321652,43.921036,1017,125.322875976563,43.919283854167,2,0.0024254014760032,-0.0055021158860029
14,14,凯旋花园,125.318846,43.934182,1700,125.320070529514,43.932330729167,2,-0.0003800455729958,0.0075447591139976
18,18,凯旋花园,125.318846,43.934182,1700,125.320070529514,43.932330729167,2,-0.0003800455729958,0.0075447591139976
19,19,凯旋花园,125.318846,43.934182,1700,125.320070529514,43.932330729167,2,-0.0003800455729958,0.0075447591139976
20,20,中正御华庭,125.335362,43.933687,2382,125.336555175782,43.93184217665,2,0.0161046006950016,0.0070562065969994
21,21,凯旋花园,125.318846,43.934182,1700,125.320070529514,43.932330729167,2,-0.0003800455729958,0.0075447591139976
24,24,温馨花园,125.33613,43.922033,1644,125.337325575087,43.920280490452,2,0.0168749999999988,-0.0045054796010006
25,25,机械处,125.31848,43.933271,911,125.319709472657,43.931430664063,2,-0.0007411024299983,0.0066446940099993
26,26,长新街铁路小区,125.335835,43.930323,1765,125.337026095921,43.928505316841,2,0.0165755208340101,0.0037193467879959
27,27,九台路与,125.329789,43.91939,1782,125.33098795573,43.917660047744,2,0.0105373806430009,-0.0071259223090009
28,28,宏煜小区,125.321537,43.93433,1277,125.322747938369,43.93248562283,2,0.0022973632820111,0.0076996527769992
31,31,长新街长新小区,125.331104,43.929561,1482,125.332303059896,43.927756618924,2,0.0118524848090117,0.002970648870999
32,32,兰家兆丰玖号,125.337981,43.939632,3097,125.339173448351,43.93775390625,2,0.0187228732640107,0.0129679361970005
33,33,一匡街天波路,125.333798,43.923884,1462,125.334989691841,43.922115071615,2,0.0145391167540083,-0.0026708984379979
35,35,马赛公寓,125.318603,43.931592,790,125.319829644098,43.929761827257,2,-0.000620930989001,0.0049758572040019
37,37,一匡街天波路,125.333798,43.923884,1462,125.334989691841,43.922115071615,2,0.0145391167540083,-0.0026708984379979
39,39,一匡街利国街,125.344147,43.922156,2297,125.345317382813,43.920405815973,2,0.0248668077259992,-0.0043801540800032
40,40,北十条与庆丰路交汇,125.333959,43.938554,2795,125.33515218099,43.93667670356,2,0.0147016059029994,0.0118907335070019
42,42,一匡街康泰乐园一期,125.320345,43.927775,203,125.32156358507,43.925977376303,2,0.0011130099830012,0.0011914062500011
45,45,凯旋路花园,125.317062,43.924913,380,125.318294542101,43.923132866754,2,-0.0021560329859937,-0.0016531032989988
46,46,康泰乐园,125.320529,43.927351,287,125.321743977865,43.925557725695,2,0.0012934027780033,0.000771755641999
48,48,包豪斯小区,125.335921,43.931923,2250,125.337116699219,43.930094401042,2,0.0166661241320014,0.0053084309889968
49,49,吉林工师,125.316444,43.937447,1354,125.317674696181,43.935574544271,2,-0.002775878905993,0.0107885742179973
52,52,正大光明城三期,125.330489,43.938474,2593,125.331682671441,43.936599934896,2,0.0112320963540071,0.0118139648430002
53,53,美印雅苑,125.346423,43.919857,3643,125.347593044705,43.918121202257,2,0.0271424696179991,-0.0066647677960034
56,56,金苹果家园,125.350559,43.92236,4100,125.351714138455,43.920617404514,2,0.0312635633680002,-0.004168565539004
60,60,北环路凯旋路交汇,125.318301,43.939953,1640,125.319530164931,43.938056369358,2,-0.0009204101559987,0.013270399305
61,61,凯旋花园,125.318846,43.934182,1700,125.320070529514,43.932330729167,2,-0.0003800455729958,0.0075447591139976
65,65,庆丰路地铁站,125.324188,43.93716,1399,125.325395507813,43.93528889974,2,0.0049449327260049,0.010502929687
