,Unnamed: 0,id,loc_x,loc_y,dis,mapbar_x,mapbar_y,centroid,normalize_x,normalize_y
1,1,万龙第十城,125.315724,43.955516,4198,125.316955837674,43.9535023329,0,-0.0034947374129927,0.0287163628469997
7,7,华大城三期,125.334554,43.958286,5213,125.335747070313,43.956255967882,0,0.0152964952260106,0.0314699978289993
9,9,北凯旋路,125.30463,43.971832,5413,125.305890570747,43.969693467882,0,-0.014560004339998,0.0449074978290013
13,13,北环城路,125.325771,43.951562,3371,125.326981879341,43.949583062066,0,0.0065313042540111,0.0247970920129958
22,22,华大天朗三期,125.343946,43.947177,4499,125.345120713976,43.945230577257,0,0.0246701388890073,0.0204446072039985
23,23,团兴路与小南街交叉口,125.334852,43.960688,5388,125.336048177084,43.958635253907,0,0.0155976019970012,0.0338492838539963
30,30,北凯旋路与桐雨街交汇青年公园,125.316737,43.960774,3928,125.317959255643,43.958720974393,0,-0.0024913194439903,0.0339350043400017
38,38,九台路富城路交汇,125.326053,43.945057,2772,125.32726155599,43.943127712674,0,0.0068109809030119,0.018341742620997
43,43,天泽凯旋华府,125.319142,43.959564,4193,125.320365397136,43.957526041667,0,-8.51779509929429e-05,0.0327400716140005
47,47,万龙第十城,125.315724,43.955516,4198,125.316955837674,43.9535023329,0,-0.0034947374129927,0.0287163628469997
54,54,万龙国际城三期,125.32049,43.952957,4232,125.321707899306,43.950962727865,0,0.0012573242190114,0.0261767578119958
57,57,万盛国邦,125.33853,43.94733,4200,125.339716254341,43.945390353733,0,0.0192656792540049,0.020604383680002
58,58,华大天朗,125.345208,43.94849,4245,125.346374240452,43.946541883681,0,0.0259236653649992,0.0217559136279987
59,59,中冶蓝城三期,125.317355,43.955859,3352,125.318579915365,43.953844943577,0,-0.0018706597219875,0.0290589735240018
62,62,中冶蓝城一期,125.316542,43.951953,3712,125.317767198351,43.949965820313,0,-0.0026833767359875,0.0251798502599953
