,Unnamed: 0,id,loc_x,loc_y,dis,mapbar_x,mapbar_y,centroid,normalize_x,normalize_y
15,15,东田青年城,125.291694,43.943211,4790,125.292978515625,43.941301812066,1,-0.0274720594619992,0.0165158420129998
16,16,新隆家园,125.279659,43.937653,4891,125.280977105035,43.935791829428,1,-0.0394734700519876,0.0110058593749968
17,17,"东田青年城

",125.291694,43.943211,4790,125.292978515625,43.941301812066,1,-0.0274720594619992,0.0165158420129998
29,29,北四环路,125.272379,43.954808,8399,125.273710394966,43.952815755209,1,-0.0467401801209916,0.0280297851560007
34,34,东田青年城,125.291694,43.943211,4790,125.292978515625,43.941301812066,1,-0.0274720594619992,0.0165158420129998
36,36,柳影路菜市南街,125.303407,43.93777,2712,125.304662543403,43.935901963976,1,-0.0157880316839964,0.0111159939229992
41,41,基隆街新惠路，龙泰檀香苑,125.287531,43.930838,4409,125.288828667535,43.92901421441,1,-0.0316219075519939,0.0042282443570016
44,44,扶余路美景天城二期,125.307029,43.935237,2785,125.308270670573,43.933379177518,1,-0.0121799045139994,0.0085932074649974
50,50,宋家路农安北街,125.30317,43.947787,3325,125.30443359375,43.94583577474,1,-0.016016981336989,0.0210498046869958
51,51,兰家君子兰基地,125.300731,43.951253,4180,125.30199842665,43.949279785157,1,-0.0184521484369923,0.0244938151040017
55,55,公园一号二期,125.276076,43.89465,7275,125.277415635851,43.893124186198,1,-0.0430349392359943,-0.0316617838550001
63,63,万龙第八城B区,125.304558,43.938603,2616,125.305805121528,43.936723361546,1,-0.0146454535589981,0.0119373914929994
64,64,万龙第八城B区,125.304558,43.938603,2616,125.305805121528,43.936723361546,1,-0.0146454535589981,0.0119373914929994
